start_sec,end_sec,head_speed_val,head_score,gaze_jitter_val,gaze_score,smile_val,smile_score
0,5,0.057968205860505856,0.03225773927388836,0.0001826271761187427,0.10018284703042102,0.8634195557080715,0.8576024742424334
1,6,0.05572928615644185,0.041772086892993845,0.00016467793921717808,0.17326485930619204,0.8567993027250186,0.8226890242826476
2,7,0.044782294242106634,0.13934002831612285,0.00015672308913896685,0.21715321524346354,0.8428462403071744,0.7280809643064644
3,8,0.04002801380107329,0.22253609344571046,0.0001315689864571897,0.40229719466142005,0.8258525225776389,0.5781875802927248
4,9,0.03675148874991798,0.2977086476958733,0.0001239451169060011,0.4682335535817163,0.8233278217053002,0.5537568679008342
5,10,0.03853123180933367,0.25510882322079387,0.0001168334594697338,0.5308053941437078,0.8225707679872917,0.5463745996705798
6,11,0.04055762403924933,0.2117472440849048,0.0001170704967769799,0.5287244973820091,0.8267459014122688,0.5867479632410375
7,12,0.042502386501731264,0.17544487340826206,0.0001273455502801931,0.4385451640095594,0.8200169971613923,0.5213399857455113
8,13,0.04284664420626801,0.16955549080820778,0.00011114375862173957,0.5802702918644166,0.8179998405430068,0.5014834327025376
9,14,0.038362399251516306,0.2589732137248566,0.0001286820746976766,0.4269838547070751,0.8173989509985633,0.4955646341980647
10,15,0.036528233473464004,0.30333342796977303,0.00011946597128794684,0.5076514160207043,0.804581878206812,0.37220988233515484
11,16,0.03154656039828165,0.4416704723689686,0.00012967995535389121,0.4184029150693438,0.7951435003978414,0.29015528908143207
12,17,0.027517376227359187,0.5618174000186843,0.00011426939597190285,0.5532313859233373,0.7999324875623727,0.33049682287584287
13,18,0.02441396540405803,0.6503338658999299,9.759995162207446e-05,0.6902241023091564,0.8011309618959662,0.3410277163832531
14,19,0.023248742169790212,0.6813900735410919,0.00011000606714110035,0.5900024108148573,0.8028975799355433,0.3568388300892037
15,20,0.022321485246741185,0.7050173216544651,9.364726330810377e-05,0.7191925767133707,0.8155933248825177,0.47779324695510333
16,21,0.022602445799601235,0.6979659606093055,9.665167205459933e-05,0.6973234467170469,0.8236510237856307,0.5569014975650713
17,22,0.024636276209269146,0.6442506708757958,9.798720936240589e-05,0.6872986283960879,0.8322930933010841,0.6385561397120942
18,23,0.02557664345365283,0.6180198240963332,0.00010885206558079455,0.5998025316649486,0.8268877988256431,0.5881029564402778
19,24,0.027357582438904033,0.5665265978150834,0.00011340009994612228,0.560790168956483,0.8279596137400591,0.5982933846621152
20,25,0.03224727069578101,0.42107294599045836,0.00011164223788963618,0.575985941041557,0.8404806289728374,0.7092409375017936
21,26,0.03413407222494116,0.36713743817880534,0.00010859255861948192,0.601995683349611,0.8421109992435089,0.7223079148508152
22,27,0.034931274991085386,0.3452312943592337,0.00011253159779894434,0.5683139903667801,0.8516933415272624,0.7914178215856981
23,28,0.03358366909235797,0.3825952250506825,9.86183314535802e-05,0.6824988650916599,0.8509995254893816,0.786869182074642
24,29,0.033472268450166466,0.3857541256779035,0.0001094535431527189,0.5947040399982962,0.8545501167092681,0.8093902241253137
25,30,0.03443153348012576,0.3588935099757485,0.00013217393457606418,0.39718194744685886,0.8711033039883896,0.8907345069370347
26,31,0.03123454107056024,0.45091174966923564,0.00014734136106912737,0.2785387519714888,0.8611192438228653,0.8461714537066197
27,32,0.029894652947480328,0.49090290621428484,0.00013896020532441802,0.34155566760758593,0.8480450166440111,0.7666954769698973
28,33,0.02855783790992161,0.530919102948009,0.00014214915821092976,0.3167499804842027,0.8373997190931854,0.6835877896673144
