start_sec,end_sec,gesture_magnitude_val,gesture_magnitude_score,gesture_activity_val,gesture_activity_score,gesture_jitter_val,gesture_jitter_score,body_sway_val,body_sway_score,posture_openness_val,posture_openness_score
0,5,0.8028420534865649,0.13183416775395568,1.149726563561719,4.079073362319962e-09,2.8592985666481767,0.0186717935490483,0.8028730365586078,0.010951551926395216,89.99999976216647,0.29490796176328493
1,6,0.8028420534865649,0.13183416775395568,1.149726563561719,4.079073362319962e-09,2.8592985666481767,0.0186717935490483,0.8028730365586078,0.010951551926395216,89.99999976216647,0.29490796176328493
2,7,0.6656476358671098,0.09071785592803114,1.149726563561719,4.079073362319962e-09,2.8592985666481767,0.0186717935490483,0.8028730365586078,0.010951551926395216,59.99999990446208,0.20528877820222846
3,8,0.4202395959352864,0.04295950482222377,0.4740639432493083,0.16500113212473005,0.49384738531054945,0.42039401490617356,0.22736651138150757,0.2814585950189468,29.999999971540877,0.13758944113297716
4,9,0.0,0.009442793803322472,0.0,0.5275890040155592,0.0,0.6080062292248253,0.0,0.6157619829370472,0.0,0.08969592353674685
5,10,0.0,0.009442793803322472,0.0,0.5275890040155592,0.0,0.6080062292248253,0.0,0.6157619829370472,0.0,0.08969592353674685
6,11,0.0,0.009442793803322472,0.0,0.5275890040155592,0.0,0.6080062292248253,0.0,0.6157619829370472,0.0,0.08969592353674685
7,12,0.5550858817356193,0.06559598934259592,0.11119442262067397,0.9154393620300135,0.22015471039236045,0.5250022459900628,0.04587285494419031,0.5467022896614041,29.999999974128073,0.13758944113790847
8,13,1.1929252863471704,0.32103773342323444,0.1347487545648585,0.9642449688151409,0.22132701124838897,0.5245522728713291,0.05258885923204545,0.5363708345843534,59.9999999570526,0.20528877834004916
9,14,1.6882380520036067,0.6876416970644734,0.15792306420929378,0.992613276740149,0.22246852709833154,0.524114077875732,0.05831949369156353,0.5275301031208757,89.9999999215206,0.2949079622955498
10,15,2.1358848802928208,0.9601452763458379,0.17946424093346222,0.9998740297145654,0.22411897363329494,0.5234804535982607,0.06391078484474898,0.5188876213354578,119.99999986655547,0.403772930919128
11,16,2.6351961974490377,0.9365813444530784,0.2041708588977369,0.9850197878996404,0.22605716412486299,0.5227362649459562,0.06895018598424703,0.5110883557866895,149.99999981492454,0.5230155234119661
12,17,3.112603647060853,0.6181772431307352,0.21768051449693893,0.9667475391023332,0.2265433192870445,0.5225495845850692,0.0724659857227052,0.5056436769478897,179.99999980354087,0.6396910143600246
13,18,3.11660509314744,0.6150323035340407,0.11810015628598315,0.9316708210667421,0.007077943676218102,0.6054068084411505,0.03117382904666922,0.5691625495784737,179.99999980664552,0.6396910143715191
14,19,2.976128686229441,0.7238814491095179,0.11275040827047061,0.9192279413655912,0.009941280935008144,0.604353523739697,0.031143088055439003,0.5692092580802376,179.99999981233734,0.6396910143925921
15,20,2.773755981849039,0.8635879702621927,0.11054849237704827,0.9138446793049706,0.010654344092743026,0.6040910708537681,0.030060520244621376,0.5708533430258457,179.99999982843624,0.639691014452196
16,21,2.670465682550525,0.9202476486250698,0.1001870551114706,0.8865739067848296,0.009527011921917568,0.6045059736579336,0.02714012798317036,0.575280625124844,179.99999985827642,0.6396910145626747
17,22,2.403724066706003,0.9980821502577136,0.09153424223045953,0.8615261832339186,0.008599349924146606,0.6048472771371156,0.02504472038397163,0.5784498567746279,179.99999985632334,0.6396910145554437
18,23,2.3551001224984023,0.9999994355956447,0.11264946472142268,0.9189844404347054,0.019793859155618005,0.6007218819095707,0.026877937067219266,0.5756775243795119,179.9999998345326,0.6396910144747667
19,24,2.2987593442888157,0.9972590964784562,0.14674850784920931,0.9815146985983975,0.028645949765274417,0.5974495317678362,0.027514756840127674,0.5747133512512894,179.999999798024,0.6396910143395991
20,25,2.176112577509285,0.9732065701799932,0.141167563489471,0.9741567749501726,0.025196883147822865,0.5987255968078138,0.023773976323781646,0.5803686874351953,179.99999975444254,0.6396910141782453
21,26,2.363978042127925,0.9999454535747534,0.15768495813010883,0.992428243482912,0.04894660862960617,0.5899125766576132,0.032278928868519435,0.5674826267493523,179.99999973167522,0.6396910140939528
22,27,2.426188023765935,0.9958608071283159,0.15849795214598397,0.9930506915311176,0.04888583851411446,0.5899352035968477,0.0324074367924729,0.567287173282346,179.99999972126815,0.6396910140554222
23,28,2.6737671154481095,0.9186351039967852,0.15911008032124133,0.9935019158044743,0.049397542909939716,0.5897446654294219,0.03364906794216841,0.5653976506375038,179.99999973696256,0.6396910141135284
24,29,2.6156163133579153,0.9449209808926753,0.14437258391927477,0.9785276163172758,0.03978466381988648,0.593319556736368,0.03195178196467966,0.5679801042194971,179.99999971891054,0.6396910140466934
25,30,2.3755434107638376,0.9996765661348185,0.11233673697107664,0.9182280476959213,0.03104907366995908,0.5965596565956978,0.029518301994960323,0.5716762195310312,179.99999973834363,0.6396910141186415
26,31,2.290747199869126,0.9964383292316038,0.11407534271323126,0.922394424595586,0.03310159812223994,0.595799104482661,0.028723314473276005,0.5728819839524529,179.99999973834363,0.6396910141186415
27,32,2.36909041289119,0.9998542937802047,0.10457796381596775,0.8985105132459708,0.01169751291410112,0.6037070099480966,0.022638951977015088,0.5820805301962515,179.99999972931764,0.6396910140852242
28,33,2.4654967053412657,0.9899642975595307,0.1167204981289079,0.9285496981831681,0.014142046857298432,0.6028065115264848,0.024903017973860755,0.5786639467260007,179.99999971557634,0.639691014034349
29,34,2.545695297575618,0.9701993689425986,0.12990133527449768,0.9557603901242159,0.01633162643164268,0.6019993393825016,0.028631448223281054,0.5730212627614871,179.99999972834107,0.6396910140816086
