start_sec,end_sec,gesture_magnitude_val,gesture_magnitude_score,gesture_activity_val,gesture_activity_score,gesture_jitter_val,gesture_jitter_score,body_sway_val,body_sway_score,posture_openness_val,posture_openness_score
0,5,2.209022146985451,0.9019974200177,0.11352496417935541,0.03024471888595077,0.007564587930457725,0.25383696840520437,0.02642266189203644,0.1262291117015928,179.9999998886049,0.917877788041307
1,6,2.2512262684895497,0.8276084184499145,0.11087649910825555,0.057968478460840085,0.007459283415727792,0.26584557691392113,0.025618244274439563,0.14909381710063557,179.99999988386173,0.9079576905134206
2,7,2.2845061587113986,0.7592983729662386,0.09398209973761767,0.7621496812686451,0.005345935606101294,0.559088241632931,0.022967884682704266,0.24864356017589673,179.9999998539146,0.8176224427169541
3,8,2.1949269798239737,0.9229591142804202,0.08779915413587504,0.9911484594653575,0.005369334203429318,0.5556649530257968,0.02018807113580927,0.3919947154009028,179.99999983379098,0.7251964602737989
4,9,2.105190688452778,0.998310935181484,0.09316597064458386,0.8056899422053779,0.006401049967618512,0.4041396670679658,0.019896411149221166,0.4087920989303377,179.9999997907652,0.45942572844894924
5,10,2.0227381876645683,0.9676761093479194,0.09497010931015104,0.7065473172411125,0.006500744083910174,0.389987017080741,0.02074819546091306,0.3604714354739021,179.99999977572188,0.3638238362486344
6,11,2.124177497946943,0.9915123205839975,0.09698865819488152,0.5879818012840049,0.008426435934709944,0.16947556175125564,0.023204478924637423,0.2381910431944082,179.999999763457,0.29280718788582955
7,12,1.94007375658279,0.849255397641706,0.10253235480988149,0.2907241063319276,0.00880977901972059,0.1398326835264138,0.023101891596550666,0.2426858573683211,179.9999997472628,0.21278028535879553
8,13,1.7944506430529252,0.5298395340228702,0.10442286552870107,0.2138330823273824,0.009115170938265442,0.11943566585892385,0.023240445161383447,0.23662881369448988,179.99999976264323,0.2883894727162977
9,14,1.7971244217358002,0.5359372059667294,0.10060581959309818,0.38388974747849514,0.00869080161587389,0.14853676018548906,0.022621887244951944,0.26447280155826747,179.99999977328045,0.34907713969472454
10,15,1.8155418601145723,0.5782528795510053,0.09493366680343844,0.7086413824684152,0.007633527774262269,0.24617178463584166,0.02076740623201839,0.35940960135434175,179.99999979536878,0.4896454507616335
11,16,1.8575724885762857,0.6751648279044495,0.09183761102766057,0.870045543101373,0.007464013587465835,0.26529845927138235,0.019452776771661382,0.4347429642115938,179.99999980011196,0.5208586197429597
12,17,1.9384772688168288,0.8462885270468715,0.08947680784409406,0.9568110030867331,0.006577747323742681,0.3791796667056956,0.0169970891655528,0.5809405524657452,179.9999998190847,0.6417829629734599
13,18,2.089680481509109,0.9999994858670825,0.07607294299908744,0.5995120729038874,0.004525591687059539,0.6734754339378785,0.013624342533078959,0.7569104277078985,179.99999984673005,0.7877011143711506
14,19,2.4461429235985417,0.39734801858568547,0.08377170969012439,0.9667945234408749,0.005104666174384653,0.5940036180232284,0.014337008206891662,0.7240886710955134,179.99999985262411,0.8125001319014256
15,20,2.6605615743097144,0.09361666258109352,0.08889196400020322,0.9715995070017909,0.0053232731415939925,0.5623984878945291,0.015699274761371586,0.6543019862357214,179.99999985540262,0.8233930640276559
16,21,2.8291500171588706,0.018781645273665677,0.08763614713656141,0.9931284468187864,0.005143878383919488,0.5883836255162732,0.016677576634279455,0.599478373191025,179.99999983134958,0.7122002959383996
17,22,2.9574014119048813,0.0041952431648422835,0.0843111083266196,0.9787595473030773,0.004521049695271052,0.6740674768980838,0.01660575176937139,0.603608665501931,179.99999980255336,0.5368765839081001
18,23,2.9723344416697537,0.0034690081771119358,0.08369520884098018,0.9648927296220989,0.0034572138325840696,0.7953563747597693,0.018006553143439807,0.521099477813628,179.9999997958455,0.49278294011566287
19,24,2.9686579731916076,0.0036363031528604383,0.0928891976408945,0.8198306670085919,0.005125972997742496,0.5909528251288797,0.019672099917028788,0.4218594161498603,179.99999978635913,0.4307763559053291
20,25,2.8532358826797446,0.014434614034003453,0.1002279326383912,0.4037234452421747,0.006320785570675149,0.41565231135648134,0.01910683142206536,0.4552383046906916,179.99999979059604,0.45831955955097226
21,26,2.72672160183153,0.05235904458660218,0.09697813005373851,0.5886047226028412,0.006662047359660285,0.36748451199067333,0.0201183577123072,0.39598809056009004,179.99999977914499,0.3849330911183118
